"ChIJ8UCauA8xUBMRnbaL_o6uAXc","National History Museum","Tirana","AL","https://lh3.googleusercontent.com/p/AF1QipP_S19EFn5O49Uw5UwbkTDlwqJQZSHbHZ3XILn0=s1600-w500","Sheshi Skënderbej 1, Tirana 1000, Albania","4.40",NULL,NULL
"ChIJm-9VLcsxUBMR1uUgW6YfR1U","ALBANIAN TOURISM","Tirana","AL","https://lh3.googleusercontent.com/p/AF1QipM2fUOzibClKDEa1WD-rD_skc9uzU_LpYrBAsR5=s1600-w500","Rruga Ares Jorgji Yzberisht, Tirane, 1053, Albania","4.00",NULL,NULL
"ChIJHQWt-AAxUBMR5WSJABN6jGg","Choose Balkans - Albania Tour Operator","Tirana","AL","https://lh3.googleusercontent.com/p/AF1QipP50xk4cKUbViqDqZufsj05Ke_zZTftq6jKnWKf=s1600-w500","Bajram Curri Blvd, Tirana, Albania","4.90",NULL,NULL
"ChIJ935eHI4vUBMRcI37hGnVlLo","Kalaja Depo","Tirana","AL","https://lh3.googleusercontent.com/p/AF1QipPGwOGAAbiD81E1uQesxt4jSuaquqdegu54DVfc=s1600-w500","Albania","4.00",NULL,NULL
"ChIJZWs-dN8wUBMRq_gXknVzJY8","Sofra e Ariut","Tirana","AL","https://lh3.googleusercontent.com/p/AF1QipOpqJFDsHT1ODlCsHxbvZhuhgbKjABdQFnvo3J5=s1600-w500","Nd. 54 H.1 Njësia Bashkiake Nr. 1, 1019, Rruga e Elbasanit, Tiranë, Albania","4.30",NULL,NULL
"ChIJV56rDQMxUBMReMR6z7xghyY","Pizzeria DELIZIOSA","Tirana","AL","https://lh3.googleusercontent.com/p/AF1QipOPqcAABjTVPuhATDbInbjZvalG1NAACtHJgN8w=s1600-w500","Rr.Brigada e 8 , Blloku,Tirana Tirana Tirana, 1005, Albania","4.20",NULL,NULL
"ChIJNxbrC1AxUBMR3btF-SVV7NQ","Xhura Mosque مسجد","Tirana","AL","https://lh3.googleusercontent.com/p/AF1QipP_YbmhFj8UIvuW0ZFqHO5XCfSdbtGV2fNyR1ah=s1600-w500","Rruga Belul Hatibi, Tirana, Albania","4.70",NULL,NULL
"ChIJnRTgSg4xUBMR7mers7tg1-I","Tourist Information Office","Tirana","AL","https://lh3.googleusercontent.com/p/AF1QipOmSAg8Rm3V0DlS8jy9Jtr-WdoBUC7wjMqDTnCl=s1600-w500","Rruga Ded Gjo Luli, Tiranë, Albania","4.00",NULL,NULL
"ChIJ0aNHCv6yjxIRwOCawOfbpo0","Martyrs' Square","Algiers","DZ","https://lh3.googleusercontent.com/p/AF1QipM1Gum9noGt47XCtyPvGq3RJx2SH5ptBdHpb9fm=s1600-w500","Boulevard Amilcar Cabral, Algiers 16000, Algeria","4.30",NULL,NULL
"ChIJXXNm9UGyjxIR0Uhab0vGNXI","Tifariti Garden","Algiers","DZ","https://lh3.googleusercontent.com/p/AF1QipP0AjotXPaSwT003jUoLqbw9Nv0_xbiI1Meqpxy=s1600-w500","Chemin Sfindja, Alger Centre 16000, Algeria","4.20",NULL,NULL
